Chapter and subsection,Raw text hazard-related context,Context goal,Context role,Terms extracted from context,UFO types associated with terms,,,Explicit ontological type,Number of UFO types,Harmful Event,Hazardous Event
"IEC 61508-4:2010, 3.1.1",physical injury or damage to the health of people or damage to property or the environment,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",harm,harm: Event/Situation,,,Implicit,2,,
"IEC 61508-4:2010, 3.1.2",potential source of harm,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",hazard,hazard: Event/Moment/Object/Situation,,,Implicit,4,,
"IEC 61508-4:2010, 3.1.2 note","The term includes danger to persons arising within a short time scale (for example, fire and explosion) and also those that have a long-term effect on a person’s health (for example, release of a toxic substance).",Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",hazard,hazard: Event/Moment/Object/Situation,,,Implicit,4,,
"IEC 61508-4:2010, 3.1.3","circumstance in which people, property or the environment are exposed to one or more hazards",Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",hazardous situation,hazardous situation: Situation,,,Explicit,1,,
"IEC 61508-4:2010, 3.1.4",event that may result in harm,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",hazardous event,hazardous event: Event,,,Explicit,1,,
"IEC 61508-4:2010, 3.1.4 note","Whether or not a hazardous event results in harm depends on whether people, property or the environment are exposed to the consequence of the hazardous event and, in the case of harm to people, whether any such exposed people can escape the consequences of the event after it has occurred.",Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",hazardous event / harm / exposure,hazardous event: Event; harm: Event/Situation; exposure: Event,,,Explicit,2,,hazardous event
"IEC 61508-4:2010, 3.1.5",occurrence in which a hazardous situation or hazardous event results in harm,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",harmful event,harmful event: Event,,,Explicit,1,harmful event,
"IEC 61508-4:2010, 3.1.6",combination of the probability of occurrence of harm and the severity of that harm,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",risk,risk: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.1.7",risk which is accepted in a given context based on the current values of society,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",tolerable risk,tolerable risk: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.1.8",risk remaining after protective measures have been taken,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",residual risk,residual risk: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.1.9",risk arising from the EUC or its interaction with the EUC control system,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",EUC risk,EUC risk: Moment,,,Implicit,1,,hazardous event
"IEC 61508-4:2010, 3.1.9 note 1","The risk in this context is that associated with the specific harmful event in which E/E/PE safety-related systems and other risk reduction measures are to be used to provide the necessary risk reduction, that is, the risk associated with functional safety.",Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",EUC risk / harmful event,EUC risk: Moment; harmful event: Event,,,Explicit,1,harmful event,
"IEC 61508-4:2010, 3.1.10",risk that is intended to be reached for a specific hazard taking into account the EUC risk together with the E/E/PE safety-related systems and the other risk reduction measures,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",target risk,target risk: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.1.11",freedom from unacceptable risk,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",safety,safety: Situation,,,Implicit,1,,
"IEC 61508-4:2010, 3.1.12",part of the overall safety relating to the EUC and the EUC control system that depends on the correct functioning of the E/E/PE safety-related systems and other risk reduction measures,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",functional safety,functional safety: Situation,,,Implicit,1,,
"IEC 61508-4:2010, 3.1.13",state of the EUC when safety is achieved,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",safe state,safe state: Situation,,,Implicit,1,,
"IEC 61508-4:2010, 3.1.13 note","In going from a potentially hazardous condition to the final safe state, the EUC may have to go through a number of intermediate safe states.",Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",safe state,safe state: Situation,,,Implicit,1,,
"IEC 61508-4:2010, 3.1.14","use of a product, process or service in a way not intended by the supplier, but which may result from readily predictable human behaviour",Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",reasonably foreseeable misuse,reasonably foreseeable misuse: Event/Situation,,,Implicit,2,,
"IEC 61508-4:2010, 3.2.1","equipment, machinery, apparatus or plant used for manufacturing, process, transportation, medical or other activities",Terminological definition - equipment/entity concept,Define entities and artefacts used in safety-related systems,equipment under control / EUC,equipment under control: Object; EUC: Object,,,Implicit,1,,
"IEC 61508-4:2010, 3.2.2",all relevant parameters that can affect the achievement of functional safety in the specific application under consideration and in any safety lifecycle phase,Terminological definition - equipment/entity concept,Define entities and artefacts used in safety-related systems,environment,environment: Object/Situation,,,Implicit,2,,
"IEC 61508-4:2010, 3.2.3","entity of hardware or software, or both, capable of accomplishing a specified purpose",Terminological definition - equipment/entity concept,Define entities and artefacts used in safety-related systems,functional unit,functional unit: Object,,,Implicit,1,,
