Reference,Raw text hazard-related context,Context goal,Context role,Terms extracted from context,UFO types associated with terms,IEC61508 Concepts
"ISO/TS 15916:2026, 3.4",ignition that does not require external ignition energy,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",auto-ignition / external ignition energy,auto-ignition: Event; external ignition energy: Moment,auto-ignition: HazardousEvent; external ignition energy: hazard characteristic / initiating condition
"ISO/TS 15916:2026, 3.8",phenomenon that occurs when a vessel containing a pressurized liquid substantially above its boiling point is ruptured,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",boiling liquid expanding vapour explosion / phenomenon / vessel / pressurized liquid / boiling point / ruptured,boiling liquid expanding vapour explosion: Event; phenomenon: Event; vessel: Object; pressurized liquid: Object/Situation; boiling point: Moment; ruptured: Event,BLEVE: HarmfulEvent or HazardousEvent depending causal role; vessel: HazardSource bearer; pressurized liquid: HazardousSituation or Hazard property context; rupture: HazardousEvent
"ISO/TS 15916:2026, 3.13",reaction process by which a flammable substance is oxidized,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",combustion / reaction process / flammable substance / oxidized,combustion: Event; reaction process: Event; flammable substance: Object; oxidized: Event,combustion: HazardousEvent or HarmfulEvent depending context; flammable substance: HazardSource bearer; oxidized: event in causal chain
"ISO/TS 15916:2026, 3.20",combustion process in which a flame or chemical reaction moves through a flammable mixture,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",deflagration / combustion process / flame / chemical reaction / flammable mixture,deflagration: Event; combustion process: Event; flame: Event/Situation; chemical reaction: Event; flammable mixture: Object/Situation,deflagration: HazardousEvent or HarmfulEvent; flame: HarmfulEvent manifestation or consequence; flammable mixture: HazardousSituation
"ISO/TS 15916:2026, 3.23",shock stabilized combustion process,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",detonation / shock stabilized combustion process,detonation: Event; shock stabilized combustion process: Event,detonation: HazardousEvent or HarmfulEvent depending role; combustion process: HazardousEvent/HarmfulEvent
"ISO/TS 15916:2026, 3.36",self-sustained combustion of a gas mixture releasing heat,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",explosion / combustion / gas mixture / heat,explosion: Event; combustion: Event; gas mixture: Object/Situation; heat: Moment,explosion: HarmfulEvent or HazardousEvent; combustion: HazardousEvent/HarmfulEvent; gas mixture: HazardousSituation; heat: consequence/Harm mechanism
"ISO/TS 15916:2026, 3.40",sustained burning of a fuel jet,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",fire / sustained burning / fuel jet,fire: Event/Situation; sustained burning: Event; fuel jet: Event/Object,fire: HarmfulEvent or HazardousEvent depending role; sustained burning: HarmfulEvent; fuel jet: HazardousEvent or HazardSource manifestation
"ISO/TS 15916:2026, 3.41","requirements for combustion depicting a fuel, an oxidizer and an ignition source",Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",fire triangle / combustion / fuel / oxidizer / ignition source,fire triangle: Object; combustion: Event; fuel: Object; oxidizer: Object; ignition source: Object/Event,fire triangle: conceptual model; combustion: HazardousEvent/HarmfulEvent; fuel/oxidizer: HazardSource participants; ignition source: HazardousEvent source/trigger
"ISO/TS 15916:2026, 3.44",degree to which a material is ignitable in an oxidizing atmosphere,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",flammability / material / ignitable / oxidizing atmosphere,flammability: Moment; material: Object; ignitable: Moment/Disposition; oxidizing atmosphere: Situation,flammability/ignitable: Hazard; material: HazardSource bearer; oxidizing atmosphere: HazardousSituation/enabling condition
"ISO/TS 15916:2026, 3.45",lower flammable limit and upper flammable limit of gas in a gas-air mixture,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",flammability limits / lower flammable limit / upper flammable limit / gas-air mixture,flammability limits: Moment; lower flammable limit: Moment; upper flammable limit: Moment; gas-air mixture: Object/Situation,flammability limits: Hazard characteristics; gas-air mixture: HazardousSituation
